model_id                                                  mean_per_class_error    logloss      rmse       mse
StackedEnsemble_AllModels_1_AutoML_1_20250320_65921                   0.160433   0.437504  0.368751  0.135977
StackedEnsemble_BestOfFamily_1_AutoML_1_20250320_65921                0.160862   0.444243  0.375224  0.140793
GBM_1_AutoML_1_20250320_65921                                         0.164285   0.460551  0.371094  0.137711
GBM_4_AutoML_1_20250320_65921                                         0.165545   0.504865  0.377382  0.142417
GBM_5_AutoML_1_20250320_65921                                         0.166687   0.511555  0.38402   0.147472
GBM_3_AutoML_1_20250320_65921                                         0.166764   0.503392  0.380096  0.144473
GBM_2_AutoML_1_20250320_65921                                         0.167643   0.495657  0.3805    0.14478
XRT_1_AutoML_1_20250320_65921                                         0.169392   0.669235  0.447749  0.200479
DRF_1_AutoML_1_20250320_65921                                         0.171647   0.674641  0.446945  0.19976
GBM_grid_1_AutoML_1_20250320_65921_model_1                            0.177643   0.528641  0.39046   0.152459
[12 rows x 5 columns]
