2025-03-18 06:22:34,399 INFO    MainThread:20996 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-18 06:22:34,400 INFO    MainThread:20996 [wandb_setup.py:_flush():67] Configure stats pid to 20996
2025-03-18 06:22:34,400 INFO    MainThread:20996 [wandb_setup.py:_flush():67] Loading settings from C:\Users\sansharma\.config\wandb\settings
2025-03-18 06:22:34,401 INFO    MainThread:20996 [wandb_setup.py:_flush():67] Loading settings from c:\Assignment2_mlops\wandb\settings
2025-03-18 06:22:34,401 INFO    MainThread:20996 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-18 06:22:34,401 INFO    MainThread:20996 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Assignment2_mlops\wandb\run-20250318_062234-nwzy7x67\logs\debug.log
2025-03-18 06:22:34,402 INFO    MainThread:20996 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Assignment2_mlops\wandb\run-20250318_062234-nwzy7x67\logs\debug-internal.log
2025-03-18 06:22:34,402 INFO    MainThread:20996 [wandb_init.py:init():761] calling init triggers
2025-03-18 06:22:34,402 INFO    MainThread:20996 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-18 06:22:34,402 INFO    MainThread:20996 [wandb_init.py:init():784] starting backend
2025-03-18 06:22:34,402 INFO    MainThread:20996 [wandb_init.py:init():788] sending inform_init request
2025-03-18 06:22:34,477 INFO    MainThread:20996 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-18 06:22:34,477 INFO    MainThread:20996 [wandb_init.py:init():798] backend started and connected
2025-03-18 06:22:34,479 INFO    MainThread:20996 [wandb_init.py:init():891] updated telemetry
2025-03-18 06:22:34,480 INFO    MainThread:20996 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-18 06:22:36,034 INFO    MainThread:20996 [wandb_init.py:init():990] starting run threads in backend
2025-03-18 06:22:37,420 INFO    MainThread:20996 [wandb_run.py:_console_start():2375] atexit reg
2025-03-18 06:22:37,421 INFO    MainThread:20996 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-18 06:22:37,421 INFO    MainThread:20996 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-18 06:22:37,421 INFO    MainThread:20996 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-18 06:22:37,498 INFO    MainThread:20996 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-18 06:22:58,562 INFO    MainThread:20996 [wandb_run.py:_finish():2112] finishing run 2023aa05306-bits-pilani/fashion-mnist-drift/nwzy7x67
2025-03-18 06:22:58,563 INFO    MainThread:20996 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-18 06:22:58,563 INFO    MainThread:20996 [wandb_run.py:_restore():2322] restore
2025-03-18 06:22:58,563 INFO    MainThread:20996 [wandb_run.py:_restore():2328] restore done
2025-03-18 06:23:00,297 INFO    MainThread:20996 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-18 06:23:00,297 INFO    MainThread:20996 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-18 06:23:00,297 INFO    MainThread:20996 [wandb_run.py:_footer_sync_info():3917] logging synced files
