2025-03-20 23:08:06,331 INFO    MainThread:30204 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-20 23:08:06,337 INFO    MainThread:30204 [wandb_setup.py:_flush():67] Configure stats pid to 30204
2025-03-20 23:08:06,337 INFO    MainThread:30204 [wandb_setup.py:_flush():67] Loading settings from C:\Users\sansharma\.config\wandb\settings
2025-03-20 23:08:06,337 INFO    MainThread:30204 [wandb_setup.py:_flush():67] Loading settings from c:\Assignment2_MLOPS_v1\Assignment2_mlops\wandb\settings
2025-03-20 23:08:06,337 INFO    MainThread:30204 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-20 23:08:06,339 INFO    MainThread:30204 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Assignment2_MLOPS_v1\Assignment2_mlops\wandb\run-20250320_230806-u54j49m8\logs\debug.log
2025-03-20 23:08:06,339 INFO    MainThread:30204 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Assignment2_MLOPS_v1\Assignment2_mlops\wandb\run-20250320_230806-u54j49m8\logs\debug-internal.log
2025-03-20 23:08:06,339 INFO    MainThread:30204 [wandb_init.py:init():761] calling init triggers
2025-03-20 23:08:06,339 INFO    MainThread:30204 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-20 23:08:06,339 INFO    MainThread:30204 [wandb_init.py:init():784] starting backend
2025-03-20 23:08:06,339 INFO    MainThread:30204 [wandb_init.py:init():788] sending inform_init request
2025-03-20 23:08:06,490 INFO    MainThread:30204 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-20 23:08:06,492 INFO    MainThread:30204 [wandb_init.py:init():798] backend started and connected
2025-03-20 23:08:06,495 INFO    MainThread:30204 [wandb_init.py:init():891] updated telemetry
2025-03-20 23:08:06,688 INFO    MainThread:30204 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-20 23:08:07,554 INFO    MainThread:30204 [wandb_init.py:init():990] starting run threads in backend
2025-03-20 23:08:10,540 INFO    MainThread:30204 [wandb_run.py:_console_start():2375] atexit reg
2025-03-20 23:08:10,541 INFO    MainThread:30204 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-20 23:08:10,541 INFO    MainThread:30204 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-20 23:08:10,541 INFO    MainThread:30204 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-20 23:08:10,549 INFO    MainThread:30204 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-20 23:08:56,914 INFO    MainThread:30204 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Assignment2_MLOPS_v1\Assignment2_mlops\wandb\run-20250320_230856-t33xdgqv\logs\debug.log
2025-03-20 23:08:56,922 INFO    MainThread:30204 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Assignment2_MLOPS_v1\Assignment2_mlops\wandb\run-20250320_230856-t33xdgqv\logs\debug-internal.log
2025-03-20 23:08:56,922 INFO    MainThread:30204 [wandb_init.py:init():761] calling init triggers
2025-03-20 23:08:56,922 INFO    MainThread:30204 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-20 23:08:56,922 INFO    MainThread:30204 [wandb_init.py:init():776] wandb.init() called while a run is active
2025-03-20 23:09:23,604 INFO    MsgRouterThr:30204 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
